circRNA	pig-testis-Testis-31	pig-testis-Testis-73	pig-liver-old-1	pig-liver-young-1	pig-testis-Testis-91	pig-testis-Testis-54	pig-liver-old-2	pig-testis-Testis-05	pig-testis-Testis-65	pig-testis-Testis-16	pig-liver-young-2
10:5777658-5806269:+	7	0	0	0	6	0	0	0	0	0	0
10:57862460-57866461:+	19	0	0	0	9	0	0	0	0	0	0
10:57862460-57875654:+	7	0	0	0	0	0	0	0	0	0	0
10:5788968-5801969:+	66	10	0	0	7	6	0	7	0	0	0
10:5788968-5806269:+	68	7	0	0	8	14	0	7	8	13	0
10:5797324-5801969:+	13	0	0	0	0	0	0	0	0	0	0
10:58021215-58033402:+	11	0	0	0	0	0	0	0	0	0	0
10:58021215-58042335:+	13	0	0	0	0	0	0	0	0	0	0
10:585593-587855:-	8	0	0	0	0	0	0	0	0	0	0
10:58561190-58563427:-	6	0	0	0	0	0	0	0	0	0	0
10:587693-598867:-	0	0	0	0	0	0	0	0	0	0	12
10:59235336-59262208:-	0	0	0	0	0	0	0	0	0	0	28
10:59255464-59359042:-	6	0	0	0	0	0	0	0	0	0	0
10:59745681-59752288:-	17	0	0	0	0	7	0	0	0	0	0
10:59798567-59800338:-	6	0	0	0	0	0	0	0	0	0	0
10:59804789-59814815:-	0	0	0	0	0	6	0	0	0	0	0
10:59832826-59836887:-	0	0	0	0	0	0	13	0	0	0	18
10:59834811-59836887:-	0	0	20	43	0	0	18	0	0	0	0
10:59836747-59853584:-	0	0	0	6	0	0	0	0	0	0	0
10:59843563-59853584:-	0	0	0	0	0	0	0	0	0	0	38
10:59851942-59853584:-	0	0	0	7	0	0	0	0	0	0	0
10:59913524-59914874:+	8	0	0	0	0	0	0	0	0	0	0
10:59913524-59919743:+	276	87	26	12	61	67	30	67	42	52	28
10:59913524-59926809:+	29	11	0	15	10	8	0	11	8	17	0
10:59913524-59936017:+	17	6	0	10	0	7	0	8	6	0	0
10:59935908-59986966:+	0	0	0	0	0	0	0	0	0	0	36
10:59957364-59963743:+	9	0	0	0	0	0	0	0	0	0	0
10:59957364-59974190:+	0	0	0	0	0	0	0	0	6	0	0
10:59963603-59974190:+	0	0	0	8	0	0	0	0	0	0	0
10:59970137-59974190:+	11	0	0	0	0	0	0	0	0	0	0
10:60368406-60376785:+	0	0	0	0	0	0	0	0	0	0	7
10:63586708-63590209:-	11	0	0	0	0	0	7	0	0	0	0
10:63645755-63647595:-	0	0	0	0	0	0	21	0	0	0	0
10:63899362-63912175:+	130	29	165	203	21	27	356	33	30	29	48
10:63908019-63912175:+	36	6	46	35	11	0	54	0	0	7	8
10:63971077-63980690:+	11	0	0	0	0	0	0	0	0	0	0
