circRNA	cow-liver-K024	cow-testis-adult-1	cow-liver-K001	cow-testis-adult-2	cow-liver-B005	cow-testis-neonat-2	cow-testis-neonat-1	cow-liver-K018	cow-liver-B028	cow-testis-neonat-3	cow-testis-adult-3	cow-liver-K006	cow-liver-K011	cow-liver-B008	cow-liver-B022	cow-liver-K013	cow-liver-B004	cow-liver-B027
10:58034711-58037311:+	0	19	0	18	0	43	60	0	0	27	31	0	0	0	0	0	0	0
10:58413070-58415860:+	0	0	0	6	0	22	8	0	0	15	0	0	0	0	0	0	0	0
10:58777685-58785341:+	0	0	6	0	0	7	8	0	0	0	0	0	0	0	0	0	0	0
10:59400132-59403311:-	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
10:59425382-59446073:-	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
10:59721922-59726937:+	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
10:59809139-59815671:-	0	0	0	0	0	0	6	0	0	7	0	0	0	0	0	0	0	0
10:59812709-59825831:-	0	0	0	0	0	21	39	0	0	24	0	0	0	8	7	12	8	0
10:59927481-59939658:+	22	11	6	10	17	18	34	12	13	22	8	10	14	15	18	19	13	7
10:59930006-59939658:+	6	0	0	0	0	11	17	0	0	24	0	0	0	0	0	6	0	0
10:60702314-60707767:-	6	8	0	12	0	37	28	0	0	40	6	0	0	0	7	0	7	0
10:60966408-60976432:-	0	0	0	14	0	0	0	0	0	0	8	0	0	0	0	0	0	0
10:61029107-61045205:-	0	0	0	6	0	0	6	0	0	10	0	0	0	0	0	0	0	0
10:61041597-61045205:-	22	22	8	46	6	20	22	13	19	27	31	12	10	13	37	14	24	37
10:61500112-61505202:+	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:62216920-62219793:+	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
10:6556687-6572149:-	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
10:65685204-65722043:-	0	14	0	40	0	0	10	0	0	0	18	0	0	0	0	0	0	0
10:65693794-65722043:-	0	10	0	16	0	0	0	0	0	0	23	0	0	0	0	0	0	0
10:65705315-65712032:-	0	0	0	9	0	0	0	0	0	0	6	0	0	0	0	0	0	0
10:65705315-65714006:-	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
10:65705315-65722043:-	0	79	0	298	0	20	22	8	0	25	176	0	0	0	0	0	0	10
10:6584906-6623434:-	0	0	0	7	0	7	19	0	0	10	0	0	0	0	0	0	0	0
10:6619387-6623434:-	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
10:67199993-67200512:+	15	11	7	20	12	69	80	19	18	120	12	15	11	15	13	15	15	12
10:67483835-67491489:-	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:68035837-68041178:+	0	0	0	0	0	0	12	0	0	19	0	0	0	0	0	0	0	0
10:68035837-68044000:+	0	0	0	7	0	0	15	0	0	10	0	0	0	0	0	0	0	0
10:68068506-68070990:+	0	0	0	11	0	0	8	0	0	8	30	0	0	7	0	0	0	0
10:68068506-68078912:+	0	7	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0
10:6844854-6854728:-	0	0	0	7	0	0	0	0	0	0	0	6	0	0	7	0	0	0
10:6844854-6862397:-	0	0	0	0	0	0	7	0	0	8	10	0	0	0	0	0	0	0
10:69641294-69655795:-	9	0	0	0	0	27	24	0	0	9	0	0	0	0	0	0	0	0
10:70456616-70465312:-	0	7	0	0	0	9	6	0	0	0	15	0	0	0	0	0	0	0
10:70526354-70534519:+	8	0	9	0	0	0	0	7	13	0	0	0	0	8	0	7	0	9
10:70714744-70719787:+	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
10:70744300-70745962:+	0	11	0	8	0	12	12	0	0	9	0	0	0	0	0	0	0	0
10:71805296-71831204:-	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:71819192-71853952:-	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
10:72184056-72219386:+	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
10:72194549-72207428:+	0	0	0	13	0	0	0	0	0	0	6	0	0	0	0	0	0	0
10:72219194-72224032:+	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:72226253-72245428:+	0	0	0	6	0	0	0	0	0	0	7	0	0	0	0	0	0	0
10:72950208-72967925:+	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
10:72950208-72976824:+	0	0	0	0	0	0	8	0	0	8	0	0	0	0	0	0	0	0
10:72950208-72983216:+	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:72950208-73028373:+	0	0	0	0	0	0	6	0	0	7	0	0	0	0	0	0	0	0
10:72976683-73028373:+	0	0	0	0	0	6	11	0	0	17	0	0	0	0	0	0	0	0
10:73574320-73574822:+	0	0	0	0	0	11	12	0	0	0	0	0	0	0	0	0	0	0
10:73857389-73858266:+	9	0	0	0	0	14	14	9	7	17	0	0	7	0	0	0	8	0
10:73857389-73864103:+	0	0	0	10	0	0	17	0	0	8	9	0	0	0	0	0	0	0
