circRNA	pig-liver-young-1	pig-liver-old1	pig-testis-5	cow-liver-K001	cow-testis-adult2	cow-testis-neonat1	cow-liver-K006	pig-testis-54	cow-liver-B004	cow-liver-K013	pig-testis-31	cow-liver-B028	cow-liver-K018	pig-liver-old2	cow-testis-neonat3	cow-liver-B005	cow-liver-B022	cow-liver-K024	cow-liver-B008	cow-liver-K011	cow-testis-adult1	pig-liver-young-2	cow-liver-B027	cow-testis-neonat2	cow-testis-adult3
2:61603189-61611073:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
2:61606784-61611073:-	0	0	0	0	0	12	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
2:62151422-62155303:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
2:6516108-6564026:-	0	0	0	0	8	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2:71866772-71891528:+	0	0	0	0	34	107	0	0	0	8	0	8	0	0	94	0	0	7	0	0	29	0	0	52	35
2:71866772-71906197:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
2:73305867-73306346:-	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
2:79446872-79480284:+	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
2:85637856-85648101:-	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
2:86073342-86076932:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	6	0	0
2:860858-867852:-	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0
2:86240229-86270975:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
2:86240229-86290747:-	0	0	0	0	15	9	0	0	0	0	0	0	0	0	13	0	0	0	0	0	12	0	0	7	13
2:86260608-86290747:-	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
2:86283256-86290747:-	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
2:88981272-88982974:+	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2:89620772-89629893:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
2:90110727-90148732:-	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2:90956794-90958624:+	0	0	0	0	18	139	8	0	11	22	0	10	13	0	60	12	7	15	7	15	7	0	11	52	16
2:91099271-91107057:+	0	0	0	7	7	25	0	0	0	0	0	0	0	0	20	0	0	0	6	0	6	0	0	19	0
2:91099271-91124731:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	6	0	0
2:93621869-93623038:+	0	0	0	0	0	17	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	20	6
2:94468939-94477004:-	0	0	0	0	17	76	8	0	7	19	0	10	13	0	54	7	11	12	11	7	10	0	0	48	12
2:95427088-95427719:-	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2:97890633-97921405:-	0	0	0	0	0	9	0	0	0	0	0	0	0	0	6	0	10	0	6	0	0	0	0	0	0
2:97890633-97949942:-	0	0	0	0	0	23	0	0	8	0	0	0	0	0	12	0	6	0	9	0	0	0	0	6	8
